file_index,Explicit Mentions,Implicit Mentions,BPD Names,Role Summary,Examples,Importance Score,cles,Entity,Groupe,nb_tokens
51,0,2,"World Bank, afd","Le texte met en avant les rôles des banques publiques de développement (BPD) de manière implicite via des discussions sur le financement du développement et l'infrastructure des données. Bien qu'il ne mentionne pas directement les BPD, ces institutions interviennent souvent dans l'amélioration des systèmes statistiques nationaux, fournissant des ressources techniques et financières essentielles au développement durable des systèmes de données. Les BPD sont sous-entendues lorsqu'il est question de coopération internationale et de soutien au développement des capacités et des ressources des pays en développement.",Multilateral development banks and development finance institutions should improve investment disclosure and make more granular default and recovery data in the Global Emerging Markets Database (GEMs).,3,GPSDD,GPSDD,CSOs and Other Organizations,109
52,0,0,,"There are no explicit or implicit mentions of public development banks (BPDs) in the text. The text primarily discusses corporate sustainability reporting standards, double materiality, and proposals for improving financing for development, including the role of global standards like GRI and IFRS in promoting transparency and accountability.",,1,GRI,GRI,CSOs and Other Organizations,59
53,2,3,"European Investment Bank, brazilian development bank, World Bank, u.s. international development finance corporation","Les banques publiques de développement (BPD) jouent un rôle crucial dans l'utilisation de mécanismes de financement mixte pour attirer les capitaux privés vers des projets à fort impact, notamment dans les marchés émergents et les économies en développement. Elles utilisent des outils de réduction des risques tels que les garanties, l'assurance contre les risques politiques et les prêts concessionnels, pour rendre les investissements plus attractifs pour le secteur privé. Les BPD travaillent également à collaborer avec les investisseurs locaux et les institutions financières pour maintenir le capital en devises locales afin de réduire la volatilité des changes. De plus, en tant qu'institutions ayant une expertise du marché local, elles aident à concevoir des stratégies financières adaptées aux besoins socio-économiques locaux.","Public Development Banks (PDBs), investors can mitigate these risks; Development Finance Institutions (DFIs) and Multilateral Development Banks (MDBs) play a key role, using de-risking tools; Blended finance bridges the public and private sectors, where Public Development Banks (PDBs) should serve as key partners",4,GSG Impact _ Collective,GSG Impact _ Collective,CSOs and Other Organizations,153
54,0,3,"green climate fund, global environment facility, climate investment funds","Dans le texte, bien que les banques publiques de développement (BPD) ne soient pas mentionnées explicitement, le texte suggère implicitement le rôle important que les BPD peuvent jouer dans le soutien au développement durable des gouvernements locaux et régionaux. Le texte souligne la nécessité pour les gouvernements locaux d'accéder au financement à travers des banques nationales et sous-nationales qui peuvent s'articuler avec les grands fonds climatiques multilatéraux, tels que le Green Climate Fund et le Global Environment Facility. Les BPD peuvent faciliter l'accès au capital nécessaire par l'intermédiaire de prêts concessionnels, de garanties de crédit et d'autres instruments de financement, aidant ainsi ces gouvernements à développer l'infrastructure nécessaire pour atteindre les Objectifs de Développement Durable (ODD).",,3,GTF,GTF,CSOs and Other Organizations,160
55,2,3,"World Bank, African Development Bank",Les banques publiques de développement sont implicites dans leur rôle de mobilisation de ressources internationales et de coordination avec des outils de données comme l'IATI. Elles sont mentionnées comme participant à l'élaboration de rapports et suivis des flux financiers pour aligner ces derniers avec les Objectifs de Développement Durable (ODD). Elles sont également impliquées dans la standardisation et le suivi des flux de développement et financements humanitaires en soutien à des initiatives globales comme le Grand Bargain.,GAFS — The Global Alliance for Food Security (jointly convened by the World Bank Group and the German G7 Presidency) — is using IATI to access real-time data.; The African Development Bank has adopted the IATI Standard to publish data on the result of their development spending.,3,IATI,IATI,CSOs and Other Organizations,98
56,2,3,World Bank,"Le texte mentionne que les banques publiques de développement comme la Banque Mondiale jouent un rôle crucial dans la restructuration de la dette, notamment par le biais de garanties partielles pour les créanciers privés, facilitant les négociations sur l'annulation de dettes et appuyant la coordination des créanciers au niveau international. Elles sont impliquées dans la mise en place de nouveaux cadres de conduite universels et collaborent avec d'autres institutions financières pour intégrer les objectifs climatiques dans les analyses de soutenabilité de la dette.","Create Guarantee facility at the World Bank for green and inclusive reconstruction that would provide partial guarantees for restructured debt of private creditors.; The new Global Sovereign Debt Roundtable, jointly led by the IMF, the World Bank and the G20 presidency, is a good initiative.",4,IDOS _Debt and Debt Sustainability_,IDOS _Debt and Debt Sustainability_,CSOs and Other Organizations,106
57,0,0,,"The text does not explicitly discuss the roles of public development banks. It focuses on the challenges and strategies for enhancing the interoperability of sustainable finance frameworks, emphasizing the need for coherence and harmonization of financial regulations and standards across different jurisdictions.",,1,IDOS _Domestic and International Private Business and Finance_,IDOS _Domestic and International Private Business and Finance_,CSOs and Other Organizations,46
58,0,0,,"Le texte ne mentionne pas explicitement les Banques Publiques de Développement (BPD). Cependant, il discute des défis auxquels font face les Small Island Developing States (SIDS) en matière d'accès au financement en raison de leurs faibles notations de crédit, aggravées par les impacts du changement climatique. Les BPD pourraient jouer un rôle implicite dans l'offre de financements alternatifs ou de soutien pour développer une infrastructure résiliente en matière de crédit et de gestion de la dette. Le texte plaide pour une refonte des méthodologies de notation de crédit pour inclure des investissements dans la résilience, un rôle que les BPD pourraient soutenir dans le contexte financier et stratégique.",,1,IIED _Credit Rating_,IIED _Credit Rating_,CSOs and Other Organizations,144
59,3,5,"World Bank, Asian Development Bank, caribbean development bank, united nations economic commission","Les BPD jouent plusieurs rôles essentiels dans le texte. Elles sont impliquées dans le soutien à la résilience des Petits États Insulaires en Développement (PEID) face aux impacts du changement climatique et aux difficultés économiques. Elles fournissent des conseils stratégiques, mettent en place des infrastructures de financement pour le développement de la résilience et participent à des initiatives innovantes comme la gestion du service de la dette via la réorganisation et la restructuration des dettes. Les BPD aident aussi à élaborer des stratégies de développement et de financement pour soutenir les objectifs de développement durable des PEID et d'autres pays en développement.","The SAG also includes representatives of World Bank, Asian Development Bank, Caribbean Development Bank and United Nations Economic Commission.; ...regional hubs, equipping them with the skills and knowledge needed to navigate legal and commercial issues.",4,IIED _SIDS Debt Sustainability Support Service_,IIED _SIDS Debt Sustainability Support Service_,CSOs and Other Organizations,132
60,3,2,"World Bank, International Monetary Fund","Les banques publiques de développement sont décrites comme des acteurs clés dans le soutien de la mobilisation des ressources nationales et l'intégration de la finance climatique, du développement et de la nature. Elles sont impliquées dans des initiatives multilatérales comme le ""Joint Domestic Resource Mobilization Initiative"" et fournissent des plateformes pour les réformes institutionnelles nationales, renforçant la cohérence entre les stratégies de financement et les objectifs nationaux. Elles jouent également un rôle dans la proposition et l'exécution de réformes de la dette, participant activement à la conception de stratégies de développement durable par le biais de financements innovants et de l'allègement de la dette.","The recently launched Joint Domestic Resource Mobilization Initiative (JDRMI) of the World Bank and the IMF.; The FfD4 should leverage these platforms [multi-stakeholder financing platforms] to enhance transparency of revenue estimates; despite of its limited success and shortcomings, adopting the CF during the pandemic was a diplomatic success, as it succeeded in establishing a framework for Paris and non-Paris club creditors alike",4,IISD,IISD,CSOs and Other Organizations,134
61,4,6,"World Bank, International Monetary Fund","Les banques publiques de développement, telles que la Banque Mondiale et le FMI, sont décrites comme essentielles pour apporter des réformes à l'architecture financière internationale pour la rendre plus équitable et représentative des réalités actuelles. Elles doivent être réformées pour soutenir des finances publiques durables, inclusives et respectueuses des droits humains. Les BPD sont également mentionnées comme devant effectuer des évaluations d'impact en matière de droits humains et adapter leurs opérations pour maximiser les résultats de développement tout en promouvant la durabilité environnementale et l'égalité de genre.","Voting shares and representation of key institutions, such as the International Monetary Fund and World Bank, should be reformed to better represent all countries; Meaningful reform of the Bretton Woods institutions, and of all international financial institutions, is essential if international financial architecture is to be aligned with low-emissions, resilient and socially inclusive investment",5,Impact Coalition on IFA and FfD,Impact Coalition on IFA and FfD,CSOs and Other Organizations,120
62,0,4,,"Les banques publiques de développement ne sont pas mentionnées explicitement dans le texte. Toutefois, leur rôle est implicitement reconnu dans le cadre des discussions sur le financement du développement et les politiques fiscales pour le climat. Les BPD pourraient être impliquées dans l'augmentation du financement climatique, le soutien aux États pour remplir leurs obligations en matière de droits humains à travers le financement, et la coordination des efforts de taxation et de gestion des flux financiers illicites. De plus, leur rôle pourrait être crucial dans la mise en œuvre des politiques fiscales pour soutenir les pays en développement, particulièrement dans la création de systèmes fiscaux progressifs et équitables.","""This input aims to bridge global financing discussions...""; ""...scaling up financing for cross cutting issues in an effective...""; ""...importance of avoiding harmful practices...""; ""...the integration of multiple parallel multilateral negotiations...""",3,Initiative for Human Rights and Fiscal Policy,Initiative for Human Rights and Fiscal Policy,CSOs and Other Organizations,130
63,0,2,,"Les banques publiques de développement semblent être implicites dans le texte comme des acteurs potentiels dans la facilitation du financement à long terme pour des projets garantissant des investissements orientés vers des objectifs intergénérationnels et durables. Les solutions proposées incluent la mise en place de ""districts de réaménagement écosystémique communautaire"" qui seraient financés par la finance mondiale pour remplacer l'infrastructure carbonée par des systèmes plus durables et efficaces.",,3,Intergenerational Finance _ A Business Partnership with the Future,Intergenerational Finance _ A Business Partnership with the Future,CSOs and Other Organizations,96
64,0,3,,"Dans le texte, les banques publiques de développement (BPD) ne sont pas mentionnées explicitement. Cependant, elles sont impliquées implicitement à travers des points de réforme financière internationale, du besoin de coopération pour améliorer la soutenabilité de la dette, et de la responsabilité internationale en matière de dette publique. Les BPD jouent un rôle clé dans ces cadres, en promouvant des réformes économiques et institutionnelles, en fournissant un soutien financier et technique aux pays en développement, et en facilitant la coopération internationale sur des questions fiscales, de dette, et de développement durable.",,2,International Budget Partnership,International Budget Partnership,CSOs and Other Organizations,119
65,2,1,"World Bank, development banks, Multilateral Development Banks","Les banques publiques de développement (BPD) sont principalement reconnues pour leur potentiel à jouer un rôle catalyseur essentiel dans le financement des objectifs de développement durable (ODD) et de climat, notamment par le biais de financements mixtes. Elles sont appelées à dépasser leur rôle traditionnel de simple garant pour devenir des catalyseurs actifs de capitaux privés, facilitant ainsi les investissements plus importants dans les infrastructures durables. Le texte souligne la nécessité pour les BPD de faire évoluer leurs approches d'investissement pour mieux mobiliser le capital privé, en insistant également sur leur rôle potentiel en matière de finance climatique et de commerce durable. Le texte appelle à une réévaluation structurelle pour surmonter les obstacles et exploiter pleinement le potentiel des financements mixtes.","Blended finance, the strategic use of public funds to attract private capital for development, holds enormous potential to close the SDG and climate financing gaps. We welcome increased efforts from the World Bank Group and other major development banks in this space.; Development banks must evolve from simply acting as guarantors to becoming true catalysts for private capital, driving larger-scale investments in key areas, such as sustainable infrastructure.; ...involving international standard setting bodies, regulators, central banks, MDBs and industry – to incubate new approaches to address chronic financing gaps and multifaceted barriers, including by deploying new blended finance instruments...",4,International Chamber of Commerce,International Chamber of Commerce,CSOs and Other Organizations,159
66,0,2,,"Les banques publiques de développement (BPD) sont impliquées de manière implicite dans la manière dont elles pourraient contribuer à utiliser les ressources publiques et externes pour combler les lacunes générées par les flux financiers illicites, notamment en soutenant les économistes à faibles revenus pour exploiter les ressources financières publiques nécessaires au développement social et économique inclusif et équitable. Cependant, le texte ne mentionne pas explicitement de rôles précis des BPD dans ce contexte.","Increasingly, this offshore finance is preventing low-income countries from leveraging public financial resources needed for inclusive and equitable social and economic development.",2,International Consortium of Investigative Journalists,International Consortium of Investigative Journalists,CSOs and Other Organizations,97
67,3,2,"World Bank, International Monetary Fund, Multilateral Development Banks","Le texte souligne l'importance des banques publiques de développement (BPD), notamment les banques multilatérales, régionales et nationales, dans le financement à long terme des pays en développement. Les BPD sont appelées à offrir des financements contracycliques et à intégrer des mesures d'emploi dans leurs cadres d'évaluation des résultats. Elles sont également encouragées à abandonner les conditionnalités macroéconomiques et à soutenir les besoins nationaux dans les secteurs stratégiques. De plus, le texte mentionne le rôle potentiel des droits de tirage spéciaux du FMI et l'importance des dialogues sociaux dans la mise en œuvre des programmes de financement pilotés par la Banque mondiale et le FMI.","Stepping up the role of public development banks: Increased concessional finance will need to do the heavy lifting for the recovery and resilience needs ahead. Multilateral, regional and national development banks and other development finance institutions have an important role to play in offering long-term and counter-cyclical financing to developing countries.; Ultimately, financing programmes led by the World Bank and the IMF should be designed and implemented through social dialogue, in compliance with international labour standards and in cooperation with the ILO.",4,International Trade Union Confederation,International Trade Union Confederation,CSOs and Other Organizations,145
68,0,0,,"Le texte ne mentionne pas directement les r\u00f4les des banques publiques de d\u00e9veloppement (BPD), mais il se concentre principalement sur le r\u00f4le des Institutions Sup\u00e9rieures de Contr\u00f4le des Finances Publiques (ISC). Les BPD pourraient jouer des r\u00f4les implicites en tant que parties prenantes au financement du d\u00e9veloppement et de la coop\u00e9ration internationale, puisque les ISC assurent l'utilisation des fonds des donateurs qui pourraient inclure des financements provenant de BPD. Le texte insiste principalement sur l'audit et la transparence dans la gestion des ressources publiques, aspects souvent li\u00e9s \u00e0 l'utilisation efficace de l'aide au d\u00e9veloppement, r\u00f4le dans lequel les BPD peuvent \u00e9ventuellement s'inscrire.",,1,INTOSAI Development Initiative,INTOSAI Development Initiative,CSOs and Other Organizations,200
69,0,0,,"The text primarily focuses on sexual and reproductive health and rights (SRHR), gender equality, and the need for integrating these aspects into financing for development. It addresses the challenges in financing SRHR and gender equality initiatives, emphasizing gender-responsive budgeting, international cooperation, and innovative financing solutions. While it highlights the importance of creating supportive financial and policy environments at both domestic and international levels, there are no explicit attributions or mentions of roles specific to public development banks (PDBs) or any global financial institutions.",,1,IPPF,IPPF,CSOs and Other Organizations,101
70,0,0,,"The text does not explicitly mention public development banks. It mainly discusses the role of gender equality in financing for development, outlining various strategies to empower women economically through legal reforms, inclusive policies, and international cooperation. The focus is on leveraging investments in social services, private sector engagement, and international cooperation to address systemic barriers and promote women's economic participation.",,1,ISC Intelligence _ Women for Development,ISC Intelligence _ Women for Development,CSOs and Other Organizations,68
71,0,0,,"The text focuses on the integration of science in development financing, particularly within the context of the Fourth International Conference on Financing for Development. It emphasizes scientific research, innovation, and technological solutions for sustainable development, but does not explicitly mention banks or financial institutions, including development banks. The roles discussed are primarily about embedding scientific findings into financial policies and global cooperation, rather than specific roles of development banks.",,1,ISC Intelligence _ The Role of Science in FfD4,ISC Intelligence _ The Role of Science in FfD4,CSOs and Other Organizations,78
72,0,0,,Le texte ne mentionne pas explicitement les banques publiques de développement. Il se concentre sur la gestion des actifs d'infrastructure publique et l'importance de mettre en place des politiques et stratégies efficaces pour la gestion de ces actifs afin de soutenir le développement durable et les objectifs de développement durable (ODD). Le texte recommande des actions pour améliorer la gestion des infrastructures mais ne fait pas allusion directe aux rôles des BPD.,,1,ISO TC251,ISO TC251,CSOs and Other Organizations,87
73,1,2,World Bank,Les banques publiques de développement (BPD) jouent un rôle dans la facilitation des flux financiers internationaux pour promouvoir des activités positives pour la nature. Elles sont impliquées dans la réorientation du système économique et financier mondial pour soutenir des solutions fondées sur la nature et accroître le financement pour la biodiversité en alignant les flux financiers du développement avec le cadre mondial pour la biodiversité de Kunming-Montréal.,"Recent World Bank research estimates that even a partial collapse of ecosystem services would cost 2.3% of global GDP in 2030, while Sub-Saharan Africa and South Asia could lose 9.7% and 6.5% of their real GDP respectively if key ecosystem services collapse.; Align all financial flows, including development finance flows, with the Kunming-Montreal Global Biodiversity Framework (GBF).",3,IUCN,IUCN,CSOs and Other Organizations,85
74,0,7,,"Les banques publiques de d\u00e9veloppement (BPD) sont implicitement impliqu\u00e9es dans le texte \\u00e0 travers des discussions sur la coop\u00e9ration internationale, la mobilization de ressources pour le d\u00e9veloppement durable, et la promotion de la stabilit\u00e9 financi\u00e8re. Les BPD jouent potentialement un r\u00f4le dans la mobilisation de financements pour combler les lacunes financi\u00e8res des pays en d\u00e9veloppement, soutiennent les alliances entre acteurs publics et priv\u00e9s, et aident \u00e0 renforcer la coop\u00e9ration sud-sud et sud-nord. Elles peuvent \u00eatre impliqu\u00e9es dans la coordination de l'assistance technique, l'innovation, et le renforcement des infrastructures financi\u00e8res pour stimuler la croissance \u00e9conomique et atteindre les Objectifs de d\u00e9veloppement durable (ODD).","""International cooperation mechanisms should aim to address poverty's structural causes.""; ""The United Nations and other international bodies should ensure that governments, especially the developing countries, enact policies and programs to achieve this agenda.""; ""Scaling blended finance investments will be crucial to facilitating LDCs’ post-pandemic recovery.""; ""Without addressing these issues, they will continue to fall behind.""",3,Joyce Ahenkorah,Joyce Ahenkorah,CSOs and Other Organizations,225
75,3,2,"afd, adb, dfc","Les banques publiques de développement (BPD) jouent principalement un rôle consultatif et de soutien à l'initiative de l'Impact Disclosure Taskforce. Elles apportent leur expertise et leur perspective pour aider à la formulation de directives visant à canaliser les marchés de capitaux vers les Objectifs de Développement Durable (ODD). En outre, les BPD contribuent à éliminer les obstacles qui limitent l'accès des entités des économies émergentes et en développement aux marchés de capitaux durables, en collaborant à l'élaboration de normes de divulgation d'impact qui favorisent la transparence et l'investissement dans ces régions.","The taskforce, co-chaired by J.P. Morgan and Natixis, also receives input from public development banks (e.g., AFD, ADB, DFC); In 2023, J.P. Morgan Development Finance Institution (JPM DFI) assisted the Republic of Costa Rica to produce an SDID, which was included in the offering documents of the sovereign’s two $1.5 billion bonds issued for general budgetary purposes.",4,JP Morgan,JP Morgan,CSOs and Other Organizations,132
76,3,2,"World Bank, International Monetary Fund, unctad","Les banques publiques de d\u00e9veloppement telles que la Banque Mondiale, le FMI et la CNUCED sont mentionn\u00e9es comme des acteurs importants dans le contexte de la dette souveraine et de l'architecture financi\u00e8re internationale. Le texte souligne leur implication dans l'analyse, la restructuration et la gestion de la dette, ainsi que dans l'analyse de la viabilit\u00e9 des dettes align\u00e9es sur les besoins climatiques et de d\u00e9veloppement durable. Le texte sugg\u00e8re qu'une architecture r\u00e9form\u00e9e pourrait inclure des institutions comme celles-ci dans des discussions plus \u00e9quilibr\u00e9es et inclusives pour adresser efficacement les crises de la dette et promouvoir des solutions multilat\u00e9rales \\(\""multilateral solutions\\""\\).","According to the World Bank, 'record debt levels and high interest rates have set many countries on a path to crisis.'; In 2013, the International Monetary Fund found that 'debt restructurings have often been too little and too late, thus failing to re-establish debt sustainability and market access in a durable way.'; UNCTAD published a Sovereign Debt Workouts Roadmap.",4,Jubilee USA _ Debt Development networks,Jubilee USA _ Debt Development networks,CSOs and Other Organizations,192
77,1,2,World Bank,"Les Banques Publiques de Développement (BPD) sont mentionnées dans le contexte du financement du développement international et de l'intégration des systèmes de santé indigènes avec les technologies modernes. Le texte suggère que les BPD, comme la Banque Mondiale, devraient promouvoir l'incorporation des systèmes de santé indigènes dans leurs cadres pour soutenir le développement de produits de santé abordables et culturellement pertinents. Les BPD sont vues comme des facilitateurs essentiels pour le soutien financier et la création de partenariats adaptés aux solutions de santé communautaires.","Multilateral organizations like the Global Fund, Gavi, and the World Bank should consider incorporating Indigenous health systems into their frameworks, facilitating a more holistic approach to disease prevention and treatment.; Private sector financing plays a crucial role in scaling innovative health solutions. Landcent's work can be expanded through partnerships with global health funds, philanthropic organizations, and development banks.",3,Landcent,Landcent,CSOs and Other Organizations,115
78,0,2,,"The text implicitly discusses roles for public development banks (BPDs) through references to multilateral institutions and donor countries that could potentially support reforms in subnational revenue mobilization and property tax reforms. These institutions may provide critical financial backing, expertise, and coordination to enhance local capacities, strengthen frameworks, and ensure sustainable change in revenue systems at the subnational level. They are seen as potentially pivotal in advancing the agenda of financing for development, particularly through commitments to medium-term support that align with local and national needs.","""A commitment by multilateral institutions to strengthen support to efforts to strengthen subnational revenue mobilization, and property taxes in particular.""; ""A commitment by 'donor countries' to expand support for sub-national revenue raising reform.""",3,LOGRI,LOGRI,CSOs and Other Organizations,102
79,14,5,"World Bank, African Development Bank, Asian Development Bank, inter-american development bank (idb), islamic development bank (isdb), national development banks (ndbs), Multilateral Development Banks","Les banques publiques de développement, tant nationales que multilatérales, jouent un rôle crucial dans le financement des Objectifs de Développement Durable (ODD) en fournissant des capitaux long terme tolérants au risque. Elles mobilisent des financements publics et privés à grande échelle, transforment les défis liés aux ODD en voies d'investissement et garantissent en établissant des conditions progressives visant à renforcer les partenariats équitables et durables. Elles facilitent l'investissement privé, participent à des programmes de finance climatique et proposent des modèles de financement innovants adaptés aux contextes régionaux.","There is an urgent need for channeling long-term risk-tolerant finance towards achieving the Sustainable Development Goals. The paper argues that National Development Banks (NDBs) and Multilateral Development Banks (MDBs) can play a crucial role in mobilizing the needed capital...; In developing countries, and some developed countries, such patient strategic finance is increasingly coming from national development banks (NDBs) and multilateral development banks (MDBs).; MDBs are international financial institutions chartered by two or more countries for the purpose of encouraging economic development in countries and regions. Some, like the World Bank, have a global remit, while others, like the African Development Bank (AfDB), the Asian Development Bank (ADB)...",5,Mariana Mazzucato,Mariana Mazzucato,CSOs and Other Organizations,128
80,4,3,"World Bank, International Monetary Fund, adb, aiib","Les banques publiques de développement (BPD) sont décrites comme des catalyseurs clés du financement du développement durable. Elles jouent un rôle central en collaborant avec le secteur privé pour établir des normes de durabilité, co-développer des critères d'investissement, et promouvoir la finance verte à travers des instruments financiers tels que des obligations vertes. Le texte souligne également l'importance de l'intégration des BPD dans le paysage financier international en alignant leurs objectifs avec ceux des investisseurs privés et des régulateurs pour combler l'écart de financement des Objectifs de Développement Durable (ODD).",,4,Morningstar Sustainalytics,Morningstar Sustainalytics,CSOs and Other Organizations,124
81,3,4,International Financial Institutions,"Les banques publiques de développement (BPD), spécifiquement mentionnées sous la forme d'institutions financières internationales (IFI), jouent un rôle crucial dans le renforcement de la transparence de la dette publique. Elles sont évoquées comme des partenaires potentiels pour soutenir les parlements et la société civile dans la gestion de la dette, améliorer la transparence et l'efficacité des systèmes de gestion de la dette, et incorporer des garanties de gouvernance dans les accords de prêt. Elles sont également exhortées à soutenir la surveillance par la société civile des processus de prêt et à promouvoir la divulgation par les créanciers publics et privés. L'engagement des IFI est essentiel pour garantir que les prêts encouragent réellement le développement plutôt que d'engendrer plus de corruption.","""...executive bodies dealing with public debt management receive donor or International Financial Institution (IFI) capacity support...""; ""Any IFI and bilateral lending should consider ways to enhance the role of oversight actors...""",3,NDI,NDI,CSOs and Other Organizations,156
82,3,5,Multilateral Development Banks,"Les banques publiques de développement sont principalement mentionnées dans le contexte du financement du développement durable, de la coopération internationale et du financement climatique. Elles jouent un rôle clé dans la promotion du financement privé à travers des partenariats public-privé, le financement mixte, et les instruments de partage des risques. De plus, elles sont impliquées dans l'assistance aux pays en développement par le biais de mécanismes de financement qui catalysent des investissements supplémentaires pour atteindre les objectifs de développement durable.","financial institutions such as multilateral development banks, bilateral development finance institutions; de-risking instruments including loans (concessional and non-concessional), equity, grants and guarantees; use of public finance including ODA to catalyse additional finance",4,NeFDeF Project,NeFDeF Project,CSOs and Other Organizations,100
83,0,3,,"Le texte aborde le rôle des institutions financières internationales telles que le FMI dans le cadre de l'ajustement macroéconomique et des programmes de prêts. Les BPD sont impliquées implicitement dans le financement du développement climatique, des infrastructures sociales et économiques et dans la fourniture de financements pour les pays en développement, bien que cela ne soit pas explicitement mentionné. Les BPD pourraient être impliquées dans les recommandations de financement de la transition énergétique, du soutien aux infrastructures, et des initiatives de protection sociale.","1. IMF country adjustment programs, supported with IMF loans, should make adequate fiscal space for social spending measures.; 2. Donor governments to boost their bilateral grant assistance during times of international crisis.; 3. Increase support for the Global Accelerator for Jobs and Social Protection for Just Transitions.",3,NGO Committee on Financing for Development,NGO Committee on Financing for Development,CSOs and Other Organizations,106
84,3,5,World Bank,"Les banques publiques de développement, en particulier la Banque Mondiale, sont mentionnées comme des acteurs clés dans le paysage de la dette des pays en développement. Elles sont reconnues pour offrir des termes concessionnels sur certains de leurs produits, ce qui les rend attrayantes pour ces pays. Les BPD jouent un rôle central dans l'octroi de fonds concessionnels pour soutenir les pays en crise de la dette. Elles sont présentées comme ayant un impact significatif sur la situation de la dette actuelle, en raison de leur position en tant que plus grand groupe de créanciers pour les pays en développement.","'The World Bank and other MDBs remain the largest category of creditors to developing countries.'; 'According to the World Bank, the tax-to-GDP ratio averages 13.8% in LIC, 19.75% in MIC, and 32.5% in HIC.'; 'The current debt landscape for developing countries has become more complicated in terms of creditor composition.'",4,NYU CIC,NYU CIC,CSOs and Other Organizations,122
85,1,2,World Bank,"Dans le texte, les banques publiques de développement, notamment le Groupe de la Banque Mondiale, sont mentionnées comme des fournisseurs potentiels de financement vert pour soutenir les jeunes engagés dans l'utilisation de l'intelligence artificielle pour renforcer la résilience climatique et le développement durable au Nigeria. Implicitement, elles sont impliquées dans le soutien de coopérations internationales pour développer des capacités en science, technologie et projets de construction verte.","Green financing from multilateral organizations such as the World Bank Group can provide financial support needed for the youths engage in the dynamics of artificial intelligence in enhancing climate resilience for sustainable development in Nigeria.; International Development Co-operation towards enhancing science, technology and capacity building in artificial intelligence and green building projects in Nigeria is highly recommended.",2,Nzewi et al,Nzewi et al,CSOs and Other Organizations,87
86,2,3,"World Bank, International Monetary Fund","Les banques publiques de développement, telles que la Banque Mondiale et le FMI, jouent un rôle crucial dans l'analyse et la gestion de la dette souveraine en tenant compte des crises climatique et écologique. Elles sont impliquées dans les analyses de soutenabilité de la dette (DSA) et les cadres de soutenabilité de la dette (DSF) qui déterminent l'accès des pays aux financements et le besoin d'allégement ou de restructuration de la dette. Les BPD sont aussi présentées comme des acteurs clés pour le financement de mesures de protection de la nature et du climat en adaptant leurs termes de financement aux risques futurs liés à ces crises.","Debt Sustainability Frameworks (DSFs) ... used by the International Monetary Fund (IMF) and World Bank.; DSAs determine whether, and the conditions under which, EMDCs have access to funding from the IMF, World Bank and some bilateral lenders.",4,ODI Expert Review on Debt_ Nature and Climate,ODI Expert Review on Debt_ Nature and Climate,CSOs and Other Organizations,136
87,2,1,,"Le texte parle principalement des rôles de l'Assistance publique au développement (ODA) et des défis actuels auxquels elle est confrontée dans le paysage actuel du financement du développement. Les Banques publiques de développement (BPD) ne sont pas mentionnées explicitement, sauf dans des références générales à d'autres instruments financiers qui doivent être mobilisés. Le texte souligne que l'ODA ne peut à elle seule combler l'écart financier requis pour les biens publics mondiaux et d'autres objectifs de développement, ce qui implique un rôle pour d'autres sources de financement, possiblement les BPD, bien qu'elles ne soient pas spécifiquement nommées.","In the medium-term vision, ODA could be positioned within a much larger capital stack, addressing development and poverty reduction, as well as wider climate change and other GPGs.; A Northern donor concurred: 'The worst thing we can do is put a figure that three years down the line only creates more frustration and more pressure on ODA and our traditional instruments that will by then probably still be unreformed.'",2,ODI - Aly and Gulranjani,ODI - Aly and Gulranjani,CSOs and Other Organizations,133
88,5,3,"World Bank, International Monetary Fund","Les banques publiques de développement jouent un rôle crucial dans le financement des systèmes de données ouverts dans les pays à revenu faible et intermédiaire. Elles fournissent un soutien financier et une expertise technique essentielle à la construction des capacités statistiques, ce qui permet à ces pays de développer et de maintenir leur infrastructure de données. Elles favorisent également la coopération internationale et les initiatives de partage des données, renforçant ainsi la résilience des pays aux crises économiques, climatiques et sanitaires.","International development organizations and donor agencies are crucial in strengthening open data systems.; International financial institutions such as the World Bank Group, the IMF, regional development banks...",3,ODW,ODW,CSOs and Other Organizations,93
89,2,2,World Bank,"Les banques publiques de développement jouent un rôle clé dans le renforcement des institutions financières internationales, l'alignement sur les objectifs de développement durable, la promotion de la finance climatique et la gestion de la dette. Elles sont impliquées dans les approches de collaboration internationale pour promouvoir un développement économique inclusif et durable, en soutenant des réformes institutionnelles et en améliorant la gouvernance économique mondiale.",Strengthen international financial institutions.; Promote technology transfer and enhance research and development.,4,Ofal Miracle,Ofal Miracle,CSOs and Other Organizations,81
